pilot_pattern,pilot_density,snr_db,trial,num_pilots,nmse_oracle_perfect,nmse_oracle_support_ls,nmse_estimated_support_ls,path_recall,path_precision,power_recovery,delay_rmse_bins,doppler_rmse_bins,penalized_delay_rmse_bins,penalized_doppler_rmse_bins,ospa_distance,num_estimated,num_missed,num_false_alarms,false_alarm_rate
random,0.125,0.0,66,112,0.0,0.015833879266268225,0.22656764913883562,0.75,0.75,0.8963055154190323,0.16492273279833142,0.13644356083611386,0.40127874457196505,0.27651877688545623,0.5849072971612466,4.0,1.0,1.0,0.25
random,0.125,0.0,67,112,0.0,0.017780142339932706,0.19891433156077537,0.75,0.75,0.9531152925153112,0.22563833948439085,0.2194826044216138,0.42285871775801775,0.31405327610577627,0.6800010205321617,4.0,1.0,1.0,0.25
random,0.125,0.0,68,112,0.0,0.028774024394119597,0.07770225570364095,1.0,1.0,1.0,0.055290447712453665,0.13930251216631623,0.055290447712453665,0.13930251216631623,0.2881934870847047,4.0,0.0,0.0,0.0
random,0.125,0.0,69,112,0.0,0.031930104735904984,0.2715837858710428,0.75,0.75,0.9595646516614382,0.15774768952864526,0.1510248927996993,0.3991093210684504,0.28214604141095173,0.5929626178248083,4.0,1.0,1.0,0.25
random,0.125,0.0,70,112,0.0,0.062323923320462216,0.12885319300281317,0.75,0.75,0.9928326082541549,0.12952423621929413,0.05112451491594829,0.3914171634281558,0.2538903050906892,0.5293485163548635,4.0,1.0,1.0,0.25
random,0.125,0.0,71,112,0.0,0.03619717370473244,0.3456330897617333,0.75,0.75,0.9089817543949468,0.05087663430269279,0.2534942687173188,0.3775795597466545,0.3327078421143634,0.6680039486222203,4.0,1.0,1.0,0.25
random,0.125,0.0,72,112,0.0,0.023498493940153072,0.17449857918868036,0.75,0.75,0.9366871136174304,0.04454478942046223,0.023203921142730146,0.376979016257384,0.2508063325901053,0.5042429145645432,4.0,1.0,1.0,0.25
random,0.125,0.0,73,112,0.0,0.05941478311647229,0.3093738585569077,0.5,0.5,0.8620938673121898,0.075466267648444,0.1126621828513539,0.5330080475718855,0.362417416417059,0.7283185409961822,4.0,2.0,2.0,0.5
random,0.125,0.0,74,112,0.0,0.0588049060549224,0.68925871210865,0.5,0.5,0.5363657325378414,0.3414469868479857,0.257587835565338,0.5827032026802189,0.3977131460181041,0.8580996596603443,4.0,2.0,2.0,0.5
random,0.125,0.0,75,112,0.0,0.03995518859953629,0.24476476937585714,0.75,0.75,0.9344332709129393,0.19138855530025145,0.128242242962998,0.40999656623554553,0.2735590515046714,0.5900658077201489,4.0,1.0,1.0,0.25
random,0.125,0.0,76,112,0.0,0.04510737178473784,0.22350094123541814,0.75,0.75,0.8771194891158518,0.07844777674104188,0.09264896278359938,0.38110436924379293,0.26256022685977704,0.5328760604638257,4.0,1.0,1.0,0.25
random,0.125,0.0,77,112,0.0,0.022002492504897463,0.12728513698706,0.5,0.5,0.44436329603579156,0.14503083016160717,0.06053879246587332,0.5401545805125441,0.35613546958511877,0.5275288970067402,4.0,2.0,2.0,0.5
random,0.125,0.0,78,112,0.0,0.047468773606172125,0.24273730414436723,0.5,0.5,0.8730881078335103,0.04870780894368274,0.10923373377046838,0.5314472930837518,0.36189225509358275,0.7252398652935171,4.0,2.0,2.0,0.5
random,0.125,0.0,79,112,0.0,0.02248141726323626,0.20031887266241388,1.0,1.0,1.0,0.17829950026713004,0.1650658213778263,0.17829950026713004,0.1650658213778263,0.40682148728691586,4.0,0.0,0.0,0.0
random,0.125,0.0,80,112,0.0,0.018294483177163517,0.08778202773868206,0.75,0.75,0.9782306418217761,0.13006110848240468,0.03302157183241975,0.39155065949983264,0.2516303204200812,0.5251911987125072,4.0,1.0,1.0,0.25
random,0.125,0.0,81,112,0.0,0.03824342380733983,0.07867655769245044,1.0,1.0,1.0,0.07380432798424454,0.07502293075590208,0.07380432798424454,0.07502293075590208,0.1794364964358856,4.0,0.0,0.0,0.0
random,0.125,0.0,82,112,0.0,0.0500037877417694,0.15644863863876102,0.75,0.75,0.9624806739745969,0.06651486109946646,0.13702858111499355,0.3793984318105585,0.27673565731902217,0.5587749682325377,4.0,1.0,1.0,0.25
